No,Recommendations,COR,LOE,Stage,Rules,
44,"In patients with chronic HFrEF without a specific indication (eg, venous thromboembolism [VTE], AF, a previous thromboembolic event, or a cardioembolic source), anticoagulation is not recommended.",3: No Benefit,B-R,C,"no_benefit(anticoagulant, 44):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        \+ (evidence(vte);evidence(atrial_fibrillation)).",Other Drug Treatment
45,"In patients with HFrEF, dihydropyridine calcium channel-blocking drugs are not recommended treatment for HF.",3: No Benefit,A,C,"no_benefit(dihydropyrinde_ccb, 45):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).",Drugs of Unproven Value or That May Worsen HF
46,"In patients with HFrEF, vitamins, nutritional supplements, and hormonal therapy are not recommended other than to correct specific deficiencies.",3: No Benefit,B-R,C,"no_benefit(vitamins, 46):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).

no_benefit(nutritional_suplements, 46) :-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).

no_benefit(hormonal_therapy, 46) :-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).
",Drugs of Unproven Value or That May Worsen HF
47,"In patients with HFrEF, nondihydropyridine calcium channel-blocking drugs are not recommended.",3: Harm,A,C,"contraindication(nondihydropyrinde_ccb, 47):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).",Drugs of Unproven Value or That May Worsen HF
48,"In patients with HFrEF, class IC antiarrhythmic medications and dronedarone may increase the risk of mortality.",3: Harm,A,C,"contraindication(class_ic_antiarrhythmic, 48):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).

contraindication(dronedarone, 48):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).",Drugs of Unproven Value or That May Worsen HF
49,"In patients with HFrEF, thiazolidinediones increase the risk of worsening HF symptoms and hospitalizations.",3: Harm,A,C,"contraindication(thiazolidinediones, 49):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).",Drugs of Unproven Value or That May Worsen HF
50,"In patients with type 2 diabetes and high cardiovascular risk, the dipeptidyl peptidase-4 (DPP-4) inhibitors saxagliptin and alogliptin increase the risk of HF hospitalization and should be avoided in patients with HF.",3: Harm,B-R,C,"contraindication(saxagliptin, 50):-
        evidence(accf_stage_c),
        evidence(type_2_diabetes),
        evidence(high_risk_cvd).

contraindication(alogliptin, 50):-
        evidence(accf_stage_c),
        evidence(type_2_diabetes),
        evidence(high_risk_cvd).
",Drugs of Unproven Value or That May Worsen HF
51,"In patients with HFrEF, NSAIDs worsen HF symptoms and should be avoided or withdrawn whenever possible.",3: Harm,B-NR,C,"contraindication(nsaids, 51):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).",Drugs of Unproven Value or That May Worsen HF
52,"In patients with HFrEF, titration of guideline-directed medication dosing to achieve target doses showed to be efficacious in RCTs is recommended, to reduce cardiovascular mortality and HF hospitalizations, unless not well tolerated.",1,A,C,"recommendation(medication_titration, 52):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).
",Sequencing and Uptitration
53,"In patients with HFrEF, titration and optimization of guideline-directed medications as frequently as every 1 to 2 weeks depending on the patient’s symptoms, vital signs, and laboratory findings can be useful to optimize management.",2a,C-EO,C,"recommendation(weekly_titration, 53):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef)
",Sequencing and Uptitration
54,"For patients with symptomatic (NYHA class II to III) stable chronic HFrEF (LVEF ≤35%) who are receiving GDMT, including a beta blocker at maximum tolerated dose, and who are in sinus rhythm with a heart rate of ≥70 bpm at rest, ivabradine can be beneficial to reduce HF hospitalizations and cardiovascular death",2a,B-R,C,"recommendation(ivabradine, 54):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        (evidence(nyha_class_2);evidence(nyha_class_3)),
        measurement(lvef, X), X =< 35,
        measurement(resting_heart_rate, Y), Y >= 70,
        evidence(sinus_rhythm).",Additional Medical Therapies
55,"In patients with symptomatic HFrEF despite GDMT (or who are unable to tolerate GDMT), digoxin might be considered to decrease hospitalizations for HF.",2b,B-R,C,"recommendation(digoxin, 55):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef).
",Additional Medical Therapies
56,"In selected high-risk patients with HFrEF and recent worsening of HF already on GDMT, an oral soluble guanylate cyclase stimulator (vericiguat) may be considered to reduce HF hospitalization and cardiovascular death",2b,B-R,C,"recommendation(vericiguat, 56):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        evidence(worsen_hf).
",Additional Medical Therapies
57,"In patients with nonischemic DCM or ischemic heart disease at least 40 days post-MI with LVEF ≤35% and NYHA class II or III symptoms on chronic GDMT, who have reasonable expectation of meaningful survival for >1 year, ICD therapy is recommended for primary prevention of SCD to reduce total mortality.",1,A,C,"recommendation(icd_therapy, 57):-
        evidence(accf_stage_c),
        (evidence(nyha_class_2);evidence(nyha_class_3)),
        measurement(lvef, X), X =< 35,
        (evidence(nonschemic_dcm) ;evidence(ichemic_heart_disease)),
        evidence(survival_year_greater_than_1),
        evidence(mi_post_40_day).",ICDs and CRTs
58,A transvenous ICD provides high economic value in the primary prevention of SCD particularly when the patient’s risk of death caused by ventricular arrythmia is deemed high and the risk of nonarrhythmic death (either cardiac or noncardiac) is deemed low based on the patient’s burden of comorbidities and functional status.,Value Statement: High Value,A,C,-,ICDs and CRTs
59,"In patients at least 40 days post-MI with LVEF ≤30% and NYHA class I symptoms while receiving GDMT, who have reasonable expectation of meaningful survival for >1 year, ICD therapy is recommended for primary prevention of SCD to reduce total mortality.",1,B-R,C,"recommendation(icd_therapy, 59):-
        evidence(accf_stage_c),
        evidence(nyha_class_1),
        measurement(lvef, X), X =< 30,
        evidence(survival_year_greater_than_1),
        evidence(mi_post_40_day).",ICDs and CRTs
60,"For patients who have LVEF ≤35%, sinus rhythm, left bundle branch block (LBBB) with a QRS duration ≥150 ms, and NYHA class II, III, or ambulatory IV symptoms on GDMT, CRT is indicated to reduce total mortality, reduce hospitalizations, and improve symptoms and QOL.",1,B-R,C,"recommendation(crt, 60):-
        evidence(accf_stage_c),
        evidence(sinus_rhythm),
        (evidence(nyha_class_2);evidence(nyha_class_3); evidence(nyha_class_4)),
        measurement(lvef, X), X =< 35,
        evidence(lbbb),
        measurement(qrs, Y), Y >= 150.",ICDs and CRTs
61,"For patients who have LVEF ≤35%, sinus rhythm, LBBB with a QRS duration of ≥150 ms, and NYHA class II, III, or ambulatory IV symptoms on GDMT, CRT implantation pro- vides high economic value.",Value Statement: High Value,B-NR,C,-,ICDs and CRTs
62,"For patients who have LVEF ≤35%, sinus rhythm, a non-LBBB pattern with a QRS duration ≥150 ms, and NYHA class II, III, or ambulatory class IV symptoms on GDMT, CRT can be useful to reduce total mortality, reduce hospitalizations, and improve symptoms and QOL",2a,B-R,C,"recommendation(crt, 62):-
        evidence(accf_stage_c),
        evidence(sinus_rhythm),
        (evidence(nyha_class_2);evidence(nyha_class_3), evidence(nyha_class_4)),
        measurement(lvef, X), X =< 35,
        evidence(non_lbbb),
        measurement(qrs, Y), Y >= 150.
",ICDs and CRTs
63,"In patients with high-degree or complete heart block and LVEF of 36% to 50%, CRT is reasonable to reduce total mortality, reduce
hospitalizations, and improve symptoms and QOL.",2a,B-R,C,"recommendation(crt, 63):-
        evidence(accf_stage_c),
        measurement(lvef, X), X >= 36, X =< 50,
        (evidence(second_degree_av_block); evidence(third_degree_av_block)).",ICDs and CRTs
64,"For patients who have LVEF ≤35%, sinus rhythm, LBBB with a QRS duration of 120 to 149 ms, and NYHA class II, III, or ambulatory IV symptoms on GDMT, CRT can be useful to reduce total mortality, reduce hospitalizations, and improve symptoms and QOL",2a,B-NR,C,"recommendation(crt, 64):-
        evidence(accf_stage_c),
        evidence(sinus_rhythm),
        (evidence(nyha_class_2);evidence(nyha_class_3), evidence(nyha_class_4)),
        measurement(lvef, X), X =< 35,
        evidence(lbbb),
        measurement(qrs, Y), Y > 120, Y =< 149.",ICDs and CRTs
65,"In patients with AF and LVEF ≤35% on GDMT, CRT can be useful to reduce total mortality, improve symptoms and QOL, and increase LVEF, if: a) the patient requires ventricular pacing or otherwise meets CRT criteria and b) atrioventricular nodal ablation or pharmacological rate control will allow near 100% ventricular pacing with CRT.",2a,B-NR,C,"recommendation(crt, 65):-
        evidence(accf_stage_c),
        evidence(atrial_fibrillation),
        measurement(lvef, X), X =< 35,
        evidence(requires_ventricular_pacing).
",ICDs and CRTs
66,"For patients on GDMT who have LVEF ≤35% and are undergoing placement of a new or replacement device implantation with anticipated requirement for significant (>40%) ventricular pacing, CRT can be useful to reduce total mortality, reduce hospitalizations, and improve symptoms and QOL.",2a,B-NR,C,"recommendation(crt, 66):-
        evidence(accf_stage_c),
        measurement(lvef, X), X =< 35,
        evidence(requires_ventricular_pacing).
",ICDs and CRTs
67,"In patients with genetic arrhythmogenic cardiomyopathy with high-risk features of sudden death, with EF ≤45%, implantation of ICD is reasonable to decrease sudden death.",2a,B-NR,C,"recommendation(icd_therapy, 67):-
        evidence(accf_stage_c),
        evidence(arrhythmogenic_cardiomyopathy), 
        measurement(lvef, X), X =< 45.",ICDs and CRTs
68,"For patients who have LVEF ≤35%, sinus rhythm, a non-LBBB pattern with QRS dura- tion of 120 to 149 ms, and NYHA class III or ambulatory class IV on GDMT, CRT may be considered to reduce total mortality, reduce hospitalizations, and improve symptoms and QOL.",2b,B-NR,C,"recommendation(crt, 68):-
        evidence(accf_stage_c),
        evidence(sinus_rhythm),
        (evidence(nyha_class_3), evidence(nyha_class_4)),
        measurement(lvef, X), X =< 35,
        evidence(non_lbbb),
        measurement(qrs, Y), Y > 120, Y =< 149.",ICDs and CRTs
69,"For patients who have LVEF ≤30%, ischemic cause of HF, sinus rhythm, LBBB with a QRS duration ≥150 ms, and NYHA class I symptoms on GDMT, CRT may be considered to reduce hospitalizations and improve symptoms and QOL.",2b,B-NR,C,"recommendation(crt, 69):-
        evidence(accf_stage_c),
        measurement(lvef, X), X =< 30,
        evidence(ischemic_hf),
        evidence(sinus_rhythm),
        evidence(lbbb),
        measurement(qrs, Y), Y >= 150,
        evidence(nyha_class_1).",ICDs and CRTs
70,"In patients with QRS duration <120 ms, CRT is not recommended.",3: No Benefit,B-R,C,"no_benefit(crt, 70):-
        measurement(qrs, X), X < 120.",ICDs and CRTs
71,"For patients with NYHA class I or II symptoms and non-LBBB pattern with QRS duration <150 ms, CRT is not recommended.",3: No Benefit,B-NR,C,"no_benefit(crt, 71):-
        (evidence(nyha_class_1);evidence(nyha_class_2)),
        evidence(non_lbbb),
        measurement(qrs, X), X < 150.",ICDs and CRTs
72,"For patients whose comorbidities or frailty limit survival with good functional capacity to <1 year, ICD and cardiac resynchronization
therapy with defibrillation (CRT-D) are not indicated.",3: No Benefit,C-LD,C,,ICDs and CRTs
73,"In selected patients with HF, reduced EF (EF ≤35%), and suitable coronary anatomy, surgical revascularization plus GDMT is beneficial to improve symptoms, cardiovascular hospitalizations, and long-term all-cause mortality",1,B-R,C,"recommendation(surgical_revascularization, 73):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        measurement(lvef, X), X =< 35.",Revascularization for CAD
74,"In patients with HF, VHD should be managed in a multidisciplinary manner in accordance with clinical practice guidelines for VHD to prevent worsening of HF and adverse clinical outcomes",1,B-R,C,"recommendation(manage_vhd, 74):-
        evidence(accf_stage_c),
        evidence(valvular_hd).",Valvular Heart Disease
75,"In patients with chronic severe secondary MR and HFrEF, optimization of GDMT is recommended before any intervention for secondary MR related to LV dysfunction",1,C-LD,C,"recommendation(gmdt_optimization, 75):-
        evidence(accf_stage_c),
        evidence(secondary_mr),
        evidence(hf_with_reduced_ef).",Valvular Heart Disease
76,"In patients with HFmrEF, SGLT2i can be beneficial in decreasing HF hospitalizations and cardiovascular mortality.",2a,B-R,C,"recommendation(sglt2i, 76):-
        evidence(accf_stage_c),
        evidence(hf_with_mildly_reduced_ef).
",HF With Mildly Reduced Ejection Fraction
77,"Among patients with current or previous symptomatic HFmrEF (LVEF, 41%–49%), use of evidence-based beta blockers for HFrEF, ARNi, ACEi, or ARB, and MRAs may be considered to reduce the risk of HF hospitalization and cardiovascular mortality, particularly among patients with LVEF on the lower end of this spectrum",2b,B-NR,C,"recommendation(beta_blockers, 77):-
        evidence(accf_stage_c),
        (evidence(nyha_class_2);evidence(nyha_class_3)),
        evidence(hf_with_mildly_reduced_ef).
(Kurang untuk ARNi, ACEi, ARB, dan MRA).",HF With Mildly Reduced Ejection Fraction
78,"In patients with HFimpEF after treatment, GDMT should be continued to prevent relapse of HF and LV dysfunction, even in patients who may become asymptomatic",1,B-R,C,"recommendation(continue_gdmt, 78):-
        evidence(accf_stage_c),
        evidence((hf_with_improved_ef).",HF With Improved Ejection Fraction
79,Patients with HFpEF and hypertension should have medication titrated to attain blood pressure targets in accordance with published clinical practice guidelines to prevent morbidity.,1,C-LD,C,"recommendation(medication_titrated, 79):-
        evidence(accf_stage_c),
        evidence(hf_with_preserved_ef),
        evidence(hypertension).",HF With Preserved Ejection Fraction
80,"In patients with HFpEF, SGLT2i can be beneficial in decreasing HF hospitalizations and cardiovascular mortality.",2a,B-R,C,"recommendation(sglt2i, 80):-
        evidence(accf_stage_c),
        evidence(hf_with_preserved_ef).",HF With Preserved Ejection Fraction
81,"In patients with HFpEF, management of AF can be useful to improve symptoms.",2a,C-EO,C,"recommendation(af_management, 81):-
        evidence(accf_stage_c),
        evidence(hf_with_preserved_ef).",HF With Preserved Ejection Fraction
82,"In selected patients with HFpEF, MRAs may be considered to decrease hospitalizations, particularly among patients with LVEF on the lower end of this spectrum.",2b,B-R,C,"recommendation(mra, 82):-
        evidence(accf_stage_c),
        evidence(hf_with_preserved_ef).",HF With Preserved Ejection Fraction
83,"In selected patients with HFpEF, the use of ARB may be considered to decrease hospitalizations, particularly among patients with LVEF on the lower end of this spectrum.",2b,B-R,C,"recommendation(arb, 83):-
        evidence(accf_stage_c),
        evidence(hf_with_preserved_ef),
        \+ intolerant(arb),
        \+ recommendation(acei),
        \+ recommendation(arni).",HF With Preserved Ejection Fraction
84,"In selected patients with HFpEF, ARNi may be considered to decrease hospitalizations, particularly among patients with LVEF on the lower end of this spectrum",2b,B-R,C,"recommendation(arni, 84):-
        evidence(accf_stage_c),
        evidence(hf_with_preserved_ef),
        \+ infeasible(arni),
        \+ recommendation(arb),
        \+ recommendation(acei).",HF With Preserved Ejection Fraction
85,"In patients with HFpEF, routine use of nitrates or phosphodiesterase-5 inhibitors to increase activity or QOL is ineffective.",3: No Benefit,B-R,C,"no_benefit(nitrates_or_pde_5, 85):-
        evidence(accf_stage_c),
        evidence(hf_with_preserved_ef).",HF With Preserved Ejection Fraction
86,Patients for whom there is a clinical suspicion for cardiac amyloidosis should have screening for serum and urine monoclonal light chains with serum and urine immunofixation electrophoresis and serum free light chains.,1,B-NR,C,- (Diagnosis),Diagnosis of Cardiac Amyloidosis
87,"In patients with high clinical suspicion for cardiac amyloidosis, without evidence of serum or urine monoclonal light chains, bone scintigraphy should be performed to confirm the presence of transthyretin cardiac amyloidosis.",1,B-NR,C,- (Diagnosis),Diagnosis of Cardiac Amyloidosis
88,"In patients for whom a diagnosis of transthyretin cardiac amyloidosis is made, genetic testing with TTR gene sequencing is recommended to differentiate hereditary variant from wild-type transthyretin cardiac amyloidosis.",1,B-NR,C,- (Diagnosis),Diagnosis of Cardiac Amyloidosis
